caseid,wt2,wt2a,knowledge,sex,race,age,female,white,oftenvote,conservative,prayfreq,heterosexual,married,yrsofschool,income,speaker,vp,pm,cj
1,1.9227,186174.418759,3,1. Male respondent selected,4. Other race,34,0,0,Nearly Always,4,Once/week,1,1,13,23,1,1,0,1
2,0. No Post-election interview,0. No Post-election interview,,2. Female respondent selected,1. White,58,1,1,Nearly Always,6,Daily,1,1,12,8,,,,
3,2.4054999,232918.373633,1,2. Female respondent selected,1. White,39,1,1,Always,6,Several/Day,1,1,16,13,0,1,0,0
4,2.1277001,206026.786996,0,1. Male respondent selected,1. White,49,0,1,Part of the Time,4,Once/week,1,1,12,11,0,0,0,0
5,3.0021,290690.939707,3,1. Male respondent selected,1. White,72,0,1,Always,6,Several/Day,1,1,16,19,1,1,0,1
6,0. No Post-election interview,0. No Post-election interview,,2. Female respondent selected,1. White,71,1,1,Nearly Always,6,,1,1,14,3,,,,
7,2.3004999,222758.520739,2,2. Female respondent selected,1. White,66,1,1,Always,,Several/Day,1,1,16,11,1,1,0,0
8,2.0309999,196659.528423,2,1. Male respondent selected,1. White,56,0,1,Nearly Always,6,Daily,1,1,14,19,1,1,0,0
9,2.3155,224205.846596,1,2. Female respondent selected,1. White,40,1,1,Nearly Always,6,Several/Day,1,1,14,14,0,1,0,0
10,.6142,59470.376953,2,1. Male respondent selected,2. Black/African-American,55,0,0,Always,4,Several/Day,1,0,16,19,1,1,0,0
11,2.3996,232352.71608,1,2. Female respondent selected,1. White,84,1,1,Nearly Always,6,Daily,1,1,15,,1,0,0,0
12,2.1277001,206026.786996,2,2. Female respondent selected,1. White,55,1,1,Nearly Always,4,Daily,1,1,12,19,1,1,0,0
13,2.0143001,195042.252086,4,1. Male respondent selected,1. White,30,0,1,Always,4,Few times a week,1,0,12,9,1,1,1,1
14,1.1998,116176.741478,2,2. Female respondent selected,1. White,79,1,1,Always,6,Several/Day,1,0,15,16,0,1,1,0
15,1.1998,116176.741478,3,2. Female respondent selected,1. White,77,1,1,Nearly Always,5,Several/Day,1,0,15,6,0,1,1,1
16,1.5010999,145345.949564,4,2. Female respondent selected,1. White,72,1,1,Always,4,Several/Day,1,0,17,19,1,1,1,1
17,.93730003,90758.173393,4,2. Female respondent selected,2. Black/African-American,21,1,0,Seldom,4,Several/Day,1,0,12,4,1,1,1,1
18,2.9609001,286696.935889,4,1. Male respondent selected,1. White,27,0,1,Seldom,,Never,1,1,15,14,1,1,1,1
19,2.3004999,222758.520739,4,1. Male respondent selected,1. White,61,0,1,Nearly Always,4,Several/Day,1,1,16,17,1,1,1,1
20,2.5409,246036.044184,4,1. Male respondent selected,1. White,50,0,1,Always,6,Daily,1,1,16,19,1,1,1,1
21,2.4054999,232918.373633,3,2. Female respondent selected,1. White,31,1,1,Part of the Time,4,Several/Day,0,0,16,12,0,1,1,1
22,1.257,121710.455437,1,2. Female respondent selected,1. White,87,1,1,Part of the Time,2,Several/Day,1,0,12,10,0,1,0,0
23,.5855,56692.37008,2,2. Female respondent selected,4. Other race,37,1,0,Always,,Once/week,1,1,12,15,0,1,0,1
24,.89840001,86988.598591,0,2. Female respondent selected,1. White,29,1,1,Seldom,3,Few times a week,1,1,10,13,0,0,0,0
25,.40810001,39520.362618,0,2. Female respondent selected,1. White,18. 18 years old,1,1,Always,,Once/week,1,0,13,6,0,0,0,0
26,0. No Post-election interview,0. No Post-election interview,,1. Male respondent selected,1. White,55,0,1,Nearly Always,4,Once/week,1,1,14,12,,,,
27,.7087,68627.172984,0,2. Female respondent selected,1. White,43,1,1,Seldom,,Once/week,1,1,6,4,0,0,0,0
28,1.1546,111796.478104,0,1. Male respondent selected,1. White,40,0,1,Part of the Time,4,Once/week,1,0,14,14,0,0,0,0
29,.52069998,50420.929812,1,1. Male respondent selected,1. White,55,0,1,Part of the Time,6,Never,1,0,12,14,0,0,1,0
30,.47130001,45637.830566,2,1. Male respondent selected,4. Other race,37,0,0,Nearly Always,4,Never,1,0,15,18,0,1,0,1
31,1.9263999,186534.548042,2,2. Female respondent selected,1. White,60,1,1,Part of the Time,,Once/week,1,1,12,20,1,1,0,0
32,2.5139,243420.107469,3,1. Male respondent selected,1. White,78,0,1,Always,5,Daily,1,1,12,19,1,1,0,1
33,2.0309999,196659.528423,3,1. Male respondent selected,1. White,57,0,1,Nearly Always,5,Few times a week,1,1,15,21,1,1,1,0
34,1.0944,105973.366779,3,1. Male respondent selected,1. White,53,0,1,Part of the Time,2,Once/week,1,0,12,8,1,1,0,1
35,2.6489,256489.793951,4,2. Female respondent selected,1. White,29,1,1,Part of the Time,2,Few times a week,0,0,16,17,1,1,1,1
36,1.0585999,102507.667303,0,2. Female respondent selected,4. Other race,24,1,0,Seldom,2,Few times a week,1,0,14,6,0,0,0,0
37,1.0585999,102507.667303,4,1. Male respondent selected,4. Other race,28,0,0,Seldom,4,Once/week,1,0,14,4,1,1,1,1
38,.50089997,48499.650501,4,1. Male respondent selected,1. White,52,0,1,Nearly Always,4,Daily,1,0,16,13,1,1,1,1
39,1.0585999,102507.667303,2,1. Male respondent selected,1. White,24,0,1,Part of the Time,,Once/week,1,0,14,13,0,0,1,1
40,1.0362999,100340.764295,2,1. Male respondent selected,1. White,63,0,1,Always,2,Never,1,1,17,17,1,1,0,0
41,.31639999,30632.281964,2,2. Female respondent selected,2. Black/African-American,40,1,0,Nearly Always,6,Once/week,1,0,14,9,0,0,1,1
42,.86610001,83861.588812,2,1. Male respondent selected,4. Other race,39,0,0,Part of the Time,,Daily,1,0,14,12,0,1,0,1
43,.62110001,60145.368854,1,2. Female respondent selected,1. White,52,1,1,Nearly Always,,Several/Day,1,1,14,18,0,0,0,1
44,1.8297,177169.136538,3,2. Female respondent selected,1. White,53,1,1,Always,2,Never,0,0,15,13,1,1,0,1
45,1.043,100992.706955,4,2. Female respondent selected,4. Other race,46,1,0,Always,7,Several/Day,1,1,17,8,1,1,1,1
46,.8283,80203.563073,3,2. Female respondent selected,1. White,60,1,1,Seldom,,Daily,1,0,13,,0,1,1,1
47,.2992,28969.515457,3,1. Male respondent selected,1. White,38,0,1,Nearly Always,3,Daily,1,0,16,13,1,1,0,1
48,.73570001,71234.59314300001,4,1. Male respondent selected,1. White,33,0,1,Nearly Always,3,Never,1,1,16,20,1,1,1,1
49,1.9572999,189524.349341,2,2. Female respondent selected,1. White,49,1,1,Nearly Always,6,Several/Day,1,1,16,1,1,1,0,0
50,.95929998,92891.479133,3,1. Male respondent selected,1. White,28,0,1,Seldom,3,Never,1,0,14,14,0,1,1,1
51,1.1446,110826.039945,4,2. Female respondent selected,1. White,59,1,1,Nearly Always,2,Several/Day,1,1,17,15,1,1,1,1
52,1.6390001,158704.765725,3,1. Male respondent selected,4. Other race,47,0,0,Nearly Always,1,Once/week,1,1,12,17,1,1,0,1
53,0. No Post-election interview,0. No Post-election interview,,1. Male respondent selected,1. White,41,0,1,Part of the Time,5,Never,1,0,17,21,,,,
54,2.1919,212239.737562,3,2. Female respondent selected,1. White,25,1,1,Always,3,Several/Day,1,1,13,9,0,1,1,1
55,1.7141,165978.020985,4,2. Female respondent selected,1. White,45,1,1,Nearly Always,3,Several/Day,1,0,14,11,1,1,1,1
56,.55400002,53646.658217,1,2. Female respondent selected,1. White,65,1,1,Always,,Daily,1,0,12,6,0,1,0,0
57,.588,56938.655234,3,1. Male respondent selected,1. White,33,0,1,Part of the Time,3,Never,1,0,13,10,0,1,1,1
58,0. No Post-election interview,0. No Post-election interview,,2. Female respondent selected,1. White,45,1,1,Seldom,4,Once/week,0,0,12,17,,,,
59,.588,56938.655234,1,2. Female respondent selected,1. White,30,1,1,Seldom,,Few times a week,1,1,14,,0,0,0,1
60,.73390001,71061.59526,0,2. Female respondent selected,1. White,78,1,1,Always,4,Daily,1,0,14,8,0,0,0,0
61,.58130002,56288.37219,3,1. Male respondent selected,1. White,32,0,1,Part of the Time,2,Once/week,1,1,16,15,1,0,1,1
62,.56239998,54455.002476,1,2. Female respondent selected,1. White,61,1,1,Part of the Time,,Once/week,1,0,13,17,0,0,0,1
63,.47530001,46023.687151,1,1. Male respondent selected,4. Other race,25,0,0,Seldom,6,Few times a week,1,0,14,12,0,0,0,1
64,.8689,84131.57846400001,2,1. Male respondent selected,1. White,53,0,1,Seldom,2,Daily,1,0,14,25,1,1,0,0
